UmV	PmW
  0.0000	  0.0000
114.0000	 12.7680
349.0000	 38.7390
349.0000	 39.0880
1158.0000	125.0640
1375.9000	148.7348
1485.1000	157.7176
1581.6000	165.9098
1627.9000	166.2086
1650.8000	167.3911
1684.3000	166.2404
1697.0000	163.7605
1830.3000	135.9913
1882.2000	112.7438
1901.8000	101.9365
1913.9000	 95.3122
1929.8000	 84.8726
1944.9000	 74.4508
1956.6000	 65.7026
1963.6000	 60.3218
1969.8000	 55.2726
1978.2000	 48.0109
1986.7000	 40.8863
1992.6000	 35.7871
1996.7000	 32.1269
1999.7000	 29.2356
2001.5000	 27.1804
2003.4000	 25.5434
2005.7000	 23.5068
2007.3000	 21.7190
2008.8000	 19.9273
2009.6000	 19.0510
2010.6000	 17.8541
2012.1000	 16.8010
2013.8000	 14.9424
2013.9000	 14.5605
2016.2000	 11.9964
