UmV	ImA
  0.0000	118.1000
257.7000	118.0000
435.1000	116.7000
536.9000	116.6000
688.6000	116.0000
871.4000	115.3000
1142.8000	114.1000
1275.9000	112.6000
1284.8000	112.8000
1354.7000	110.9000
1390.7000	108.6000
1452.4000	103.8000
1457.3000	103.5000
1496.6000	 98.3000
1506.8000	 99.5000
1602.3000	 82.4000
1632.4000	 73.3000
1665.3000	 63.8000
1687.0000	 56.4000
1711.6000	 47.8000
1746.3000	 34.8000
1763.0000	 27.8000
1771.6000	 23.7000
1779.9000	 19.7000
1791.7000	 14.3000
1804.2000	  8.7000
1809.6000	  5.8000
1859.5000	  0.0000
