UmV	ImA	PmW	Rohm
1770.3	0.0	0.0	999999999999
0.0	121.6	0.0	0.0
486.5	119.4	58.0881	4.07453936348409
593.9	118.9	70.61471	4.99495374264087
742.7	118.7	88.15849	6.25695029486099
1023.2	116.3	118.99816	8.79793637145314
1164.5	114.6	133.4517	10.1614310645724
1317.2	110.5	145.5506	11.9203619909502
1438.3	98.6	141.81638	14.5872210953347
1481.7	90.4	133.94568	16.3904867256637
1493.2	87.5	130.655	17.0651428571429
1558.8	71.9	112.07772	21.6801112656467
1600.7	59.2	94.76144	27.0388513513514
1622.4	51.6	83.71584	31.4418604651163
1637.7	45.4	74.35158	36.0726872246696
1659.3	37.2	61.72596	44.6048387096774
1690.2	24.6	41.57892	68.7073170731707
1710.8	15.4	26.34632	111.090909090909
1305.6	108.8	142.04928	12
1403.4	100.2	140.62068	14.0059880239521
1377.8	102.9	141.77562	13.3896987366375
1402.9	100.3	140.71087	13.98703888335
