UmV	IuA	PuW
  0.0000	703.1000	  0.0000
113.7000	700.5000	 79.6469
148.5000	706.8000	104.9598
290.8000	706.0000	205.3048
441.0000	720.0000	317.5200
488.9000	685.1000	334.9454
518.8000	639.3000	331.6688
540.0000	591.8000	319.5720
572.3000	512.4000	293.2465
601.5000	397.0000	238.7955
609.5000	304.5000	185.5927
627.3000	209.2000	131.2312
642.0000	  0.0000	  0.0000
644.9000	107.7000	 69.4557
