UmV	ImA
753.35	0
0	0.1089
76.56	0.0748
138.87	0.0689
195.8	0.0653
245.98	0.0619
287.5	0.0587
335	0.0567
379.4	0.0547
440.3	0.0563
490.2	0.0558
546.5	0.0576
583	0.056
613.3	0.0496
623.3	0.0469
627.37	0.044
631.7	0.039
638.5	0.0352
643.3	0.0337
649.05	0.0271
651.36	0.0227
653.73	0.0171
656.34	0.0114
