UmV	IuA	PuW
  0.0000	 37.2000	  0.0000
 30.5600	 29.7000	  0.9076
 81.3600	 27.0000	  2.1967
177.5500	 22.4000	  3.9771
240.8000	 19.7000	  4.7438
273.9000	 18.1000	  4.9576
365.0000	 13.2000	  4.8180
428.3300	  7.6000	  3.2553
434.6000	  6.6000	  2.8684
450.8400	  6.0000	  2.7050
457.8000	  5.4000	  2.4721
465.4000	  4.5000	  2.0943
597.6000	  0.0000	  0.0000
