UmV	PmW
  0.0000	  0.0000
486.5000	 58.0881
593.9000	 70.6147
742.7000	 88.1585
1023.2000	118.9982
1164.5000	133.4517
1305.6000	142.0493
1317.2000	145.5506
1377.8000	141.7756
1402.9000	140.7109
1403.4000	140.6207
1438.3000	141.8164
1481.7000	133.9457
1493.2000	130.6550
1558.8000	112.0777
1600.7000	 94.7614
1622.4000	 83.7158
1637.7000	 74.3516
1659.3000	 61.7260
1690.2000	 41.5789
1710.8000	 26.3463
