UmV	PmW
  0.0000	  0.0000
645.6000	 73.7275
962.3000	108.8361
1118.8000	125.1937
1337.0000	148.0059
1429.9000	154.7152
1495.9000	156.9199
1504.1000	156.7272
1554.1000	154.6329
1602.1000	149.4759
1630.3000	144.6076
1712.2000	119.3403
1719.1000	127.0415
1734.4000	111.1750
1762.1000	 96.9155
1791.5000	 81.1549
1800.8000	 74.9133
1806.9000	 70.2884
1815.1000	 64.8354
1835.2000	 51.5691
1857.8000	 33.6262
1867.4000	 26.1436
1873.5000	 20.9832
1877.9000	 16.9011
1880.6000	 14.1045
1888.4000	  8.4978
