UmV	IuA	PuW
  0.0000	560.0000	  0.0000
201.0000	550.0000	110.5500
453.0000	540.0000	244.6200
560.0000	540.0000	302.4000
612.0000	540.0000	330.4800
666.0000	540.0000	359.6400
712.0000	530.0000	377.3600
797.0000	520.0000	414.4400
800.0000	530.0000	424.0000
875.0000	480.0000	420.0000
876.0000	480.0000	420.4800
899.0000	450.0000	404.5500
900.0000	450.0000	405.0000
984.0000	160.0000	157.4400
990.0000	140.0000	138.6000
1000.0000	 90.0000	 90.0000
1053.5000	  0.0000	  0.0000
