UmV	ImA
  0.0000	116.9000
645.6000	114.2000
962.3000	113.1000
1118.8000	111.9000
1337.0000	110.7000
1429.9000	108.2000
1495.9000	104.9000
1504.1000	104.2000
1554.1000	 99.5000
1602.1000	 93.3000
1630.3000	 88.7000
1712.2000	 69.7000
1719.1000	 73.9000
1734.4000	 64.1000
1762.1000	 55.0000
1791.5000	 45.3000
1800.8000	 41.6000
1806.9000	 38.9000
1815.1000	 35.7200
1835.2000	 28.1000
1857.8000	 18.1000
1867.4000	 14.0000
1873.5000	 11.2000
1877.9000	  9.0000
1880.6000	  7.5000
1888.4000	  4.5000
1898.3000	  0.0000
