UmV	ImA	PmW	Rohm
1859.5	0.0	0.0	999999999999
0.0	118.1	0.0	0.0
257.7	118	30.4086	2.18389830508475
435.1	116.7	50.77617	3.72836332476435
536.9	116.6	62.60254	4.60463121783877
688.6	116	79.8776	5.93620689655173
871.4	115.3	100.47242	7.55767562879445
1142.8	114.1	130.39348	10.0157756354075
1284.8	112.8	144.92544	11.3900709219858
1354.7	110.9	150.23623	12.2155094679892
1506.8	99.5	149.9266	15.1437185929648
1602.3	82.4	132.02952	19.4453883495146
1632.4	73.3	119.65492	22.2701227830832
1665.3	63.8	106.24614	26.1018808777429
1687	56.4	95.1468	29.9113475177305
1711.6	47.8	81.81448	35.8075313807531
1746.3	34.8	60.77124	50.1810344827586
1763	27.8	49.0114	63.4172661870504
1771.6	23.7	41.98692	74.7510548523207
1779.9	19.7	35.06403	90.3502538071066
1791.7	14.3	25.62131	125.293706293706
1804.2	8.7	15.69654	207.379310344828
1809.6	5.8	10.49568	312
1275.9	112.6	143.66634	11.3312611012433
1457.3	103.5	150.83055	14.080193236715
1496.6	98.3	147.11578	15.2248219735504
1390.7	108.6	151.03002	12.8057090239411
1452.4	103.8	150.75912	13.9922928709056
