UmV	ImA	PmW	Rohm
2029.2	0.0	0.0	999999999999
0.0	112.5	0.0	0.0
114	112	12.768	1.01785714285714
349	111	38.739	3.14414414414414
349	112	39.088	3.11607142857143
1158	108	125.064	10.7222222222222
1697	96.5	163.7605	17.5854922279793
1830.3	74.3	135.99129	24.6339165545087
1882.2	59.9	112.74378	31.4223706176962
1901.8	53.6	101.93648	35.4813432835821
1913.9	49.8	95.31222	38.4317269076305
1929.8	43.98	84.872604	43.8790359254206
1944.9	38.28	74.450772	50.807210031348
1956.6	33.58	65.702628	58.2668254913639
1963.6	30.72	60.321792	63.9192708333333
1969.8	28.06	55.272588	70.1995723449751
1978.2	24.27	48.010914	81.5080346106304
1986.7	20.58	40.886286	96.5354713313897
1992.6	17.96	35.787096	110.946547884187
1996.7	16.09	32.126903	124.095711622126
1999.7	14.62	29.235614	136.778385772914
2001.5	13.58	27.18037	147.385861561119
2003.4	12.75	25.54335	157.129411764706
2005.7	11.72	23.506804	171.134812286689
2007.3	10.82	21.718986	185.517560073937
2008.8	9.92	19.927296	202.5
2009.6	9.48	19.051008	211.983122362869
2010.6	8.88	17.854128	226.418918918919
2012.1	8.35	16.801035	240.97005988024
2013.9	7.23	14.560497	278.547717842324
2013.8	7.42	14.942396	271.401617250674
2016.2	5.95	11.99639	338.857142857143
1485.1	106.2	157.71762	13.9839924670433
1375.9	108.1	148.73479	12.7280296022202
1581.6	104.9	165.90984	15.0772163965682
1650.8	101.4	167.39112	16.2800788954635
1684.3	98.7	166.24041	17.06484295846
1627.9	102.1	166.20859	15.9441723800196
