UmV	ImA
  0.0000	121.6000
486.5000	119.4000
593.9000	118.9000
742.7000	118.7000
1023.2000	116.3000
1164.5000	114.6000
1305.6000	108.8000
1317.2000	110.5000
1377.8000	102.9000
1402.9000	100.3000
1403.4000	100.2000
1438.3000	 98.6000
1481.7000	 90.4000
1493.2000	 87.5000
1558.8000	 71.9000
1600.7000	 59.2000
1622.4000	 51.6000
1637.7000	 45.4000
1659.3000	 37.2000
1690.2000	 24.6000
1710.8000	 15.4000
1770.3000	  0.0000
